BCNN_VGG16:
---Makename----:
Class17 :        PGO         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class18 :       SPIRRA       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class19 :        SSC         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class20 :       Scion        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class21 :       TESLA        , TP:  2   , TP+FP:  5   , TP+FN:  2   , Precision:0.4000, Recall:1.0000
Class22 :        TVR         , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class23 :     Tramontana     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class24 :       Zenvo        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class25 :       smart        , TP:  19  , TP+FP:  21  , TP+FN:  19  , Precision:0.9048, Recall:1.0000
Class26 :        Yiqi        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class27 :     Mitsubishi     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class28 :   Shangqidatong    , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class29 :       Spyker       , TP:  3   , TP+FP:  5   , TP+FN:  4   , Precision:0.6000, Recall:0.7500
